date,line,shift,product,reason,quantity
2026-07-23,Line-B,Shift-3,Bracket,Handling damage,4
2026-07-23,Line-C,Shift-1,Housing,Assembly misalignment,1
2026-07-23,Line-C,Shift-1,Housing,Dimensional out-of-spec,1
2026-07-23,Line-C,Shift-2,Bracket,Assembly misalignment,1
2026-07-23,Line-C,Shift-2,Bracket,Surface defect,1
2026-07-23,Line-C,Shift-2,Bracket,Missing component,5
2026-07-23,Line-C,Shift-3,Sensor Mount,Assembly misalignment,6
2026-07-24,Line-A,Shift-1,Connector,Dimensional out-of-spec,2
2026-07-24,Line-A,Shift-1,Connector,Assembly misalignment,2
2026-07-24,Line-A,Shift-1,Connector,Missing component,1
2026-07-24,Line-A,Shift-2,Housing,Surface defect,7
2026-07-24,Line-A,Shift-2,Housing,Assembly misalignment,1
2026-07-24,Line-A,Shift-2,Housing,Assembly misalignment,2
2026-07-24,Line-A,Shift-3,Bracket,Missing component,3
2026-07-24,Line-B,Shift-1,Housing,Assembly misalignment,1
2026-07-24,Line-B,Shift-1,Housing,Assembly misalignment,1
2026-07-24,Line-B,Shift-2,Sensor Mount,Missing component,5
2026-07-24,Line-B,Shift-2,Sensor Mount,Assembly misalignment,7
2026-07-24,Line-B,Shift-3,Sensor Mount,Missing component,2
2026-07-24,Line-B,Shift-3,Sensor Mount,Assembly misalignment,3
2026-07-24,Line-C,Shift-1,Bracket,Dimensional out-of-spec,4
2026-07-24,Line-C,Shift-1,Bracket,Missing component,4
2026-07-24,Line-C,Shift-1,Bracket,Handling damage,1
2026-07-24,Line-C,Shift-2,Sensor Mount,Dimensional out-of-spec,3
2026-07-24,Line-C,Shift-3,Connector,Assembly misalignment,4
2026-07-24,Line-C,Shift-3,Connector,Missing component,4
2026-07-24,Line-C,Shift-3,Connector,Missing component,2
2026-07-25,Line-A,Shift-1,Housing,Assembly misalignment,6
2026-07-25,Line-A,Shift-2,Bracket,Assembly misalignment,2
2026-07-25,Line-A,Shift-2,Bracket,Missing component,1
2026-07-25,Line-A,Shift-3,Sensor Mount,Dimensional out-of-spec,3
2026-07-25,Line-A,Shift-3,Sensor Mount,Surface defect,1
2026-07-25,Line-B,Shift-1,Bracket,Missing component,2
2026-07-25,Line-B,Shift-1,Bracket,Missing component,1
2026-07-25,Line-B,Shift-1,Bracket,Dimensional out-of-spec,3
2026-07-25,Line-B,Shift-2,Connector,Missing component,7
2026-07-25,Line-B,Shift-2,Connector,Dimensional out-of-spec,12
2026-07-25,Line-B,Shift-3,Connector,Handling damage,5
2026-07-25,Line-B,Shift-3,Connector,Dimensional out-of-spec,5
2026-07-25,Line-B,Shift-3,Connector,Surface defect,2
2026-07-25,Line-C,Shift-1,Sensor Mount,Surface defect,1
2026-07-25,Line-C,Shift-2,Connector,Surface defect,3
2026-07-25,Line-C,Shift-2,Connector,Assembly misalignment,6
2026-07-25,Line-C,Shift-3,Housing,Missing component,4
2026-07-25,Line-C,Shift-3,Housing,Missing component,4
2026-07-26,Line-A,Shift-1,Bracket,Handling damage,2
2026-07-26,Line-A,Shift-2,Sensor Mount,Missing component,5
2026-07-26,Line-A,Shift-3,Connector,Missing component,7
2026-07-26,Line-B,Shift-1,Sensor Mount,Handling damage,1
2026-07-26,Line-B,Shift-2,Sensor Mount,Assembly misalignment,6
2026-07-26,Line-B,Shift-2,Sensor Mount,Handling damage,5
2026-07-26,Line-B,Shift-2,Sensor Mount,Handling damage,3
2026-07-26,Line-B,Shift-3,Housing,Assembly misalignment,1
2026-07-26,Line-B,Shift-3,Housing,Surface defect,3
2026-07-26,Line-C,Shift-1,Connector,Dimensional out-of-spec,4
2026-07-26,Line-C,Shift-1,Connector,Dimensional out-of-spec,2
2026-07-26,Line-C,Shift-2,Housing,Assembly misalignment,6
2026-07-26,Line-C,Shift-2,Housing,Dimensional out-of-spec,2
2026-07-26,Line-C,Shift-3,Bracket,Dimensional out-of-spec,8
2026-07-26,Line-C,Shift-3,Bracket,Dimensional out-of-spec,1
2026-07-26,Line-C,Shift-3,Bracket,Dimensional out-of-spec,1
2026-07-27,Line-A,Shift-1,Sensor Mount,Surface defect,1
2026-07-27,Line-A,Shift-2,Connector,Surface defect,11
2026-07-27,Line-A,Shift-2,Connector,Dimensional out-of-spec,1
2026-07-27,Line-A,Shift-3,Housing,Dimensional out-of-spec,10
2026-07-27,Line-B,Shift-1,Connector,Missing component,2
2026-07-27,Line-B,Shift-1,Connector,Surface defect,10
2026-07-27,Line-B,Shift-2,Connector,Dimensional out-of-spec,22
2026-07-27,Line-B,Shift-3,Bracket,Surface defect,8
2026-07-27,Line-B,Shift-3,Bracket,Dimensional out-of-spec,1
2026-07-27,Line-C,Shift-1,Housing,Surface defect,1
2026-07-27,Line-C,Shift-1,Housing,Handling damage,1
2026-07-27,Line-C,Shift-2,Bracket,Handling damage,1
2026-07-27,Line-C,Shift-2,Bracket,Handling damage,1
2026-07-27,Line-C,Shift-3,Sensor Mount,Missing component,4
2026-07-28,Line-A,Shift-1,Connector,Missing component,11
2026-07-28,Line-A,Shift-1,Connector,Dimensional out-of-spec,1
2026-07-28,Line-A,Shift-1,Connector,Dimensional out-of-spec,1
2026-07-28,Line-A,Shift-2,Housing,Assembly misalignment,1
2026-07-28,Line-A,Shift-2,Housing,Dimensional out-of-spec,1
2026-07-28,Line-A,Shift-3,Bracket,Assembly misalignment,1
2026-07-28,Line-A,Shift-3,Bracket,Missing component,1
2026-07-28,Line-B,Shift-1,Housing,Dimensional out-of-spec,1
2026-07-28,Line-B,Shift-1,Housing,Dimensional out-of-spec,1
2026-07-28,Line-B,Shift-2,Sensor Mount,Assembly misalignment,2
2026-07-28,Line-B,Shift-2,Sensor Mount,Missing component,1
2026-07-28,Line-B,Shift-2,Sensor Mount,Assembly misalignment,12
2026-07-28,Line-B,Shift-3,Sensor Mount,Assembly misalignment,8
2026-07-28,Line-C,Shift-1,Bracket,Surface defect,9
2026-07-28,Line-C,Shift-2,Sensor Mount,Surface defect,6
2026-07-28,Line-C,Shift-2,Sensor Mount,Assembly misalignment,1
2026-07-28,Line-C,Shift-2,Sensor Mount,Surface defect,1
2026-07-28,Line-C,Shift-3,Connector,Handling damage,7
2026-07-29,Line-A,Shift-1,Housing,Assembly misalignment,1
2026-07-29,Line-A,Shift-1,Housing,Surface defect,1
2026-07-29,Line-A,Shift-2,Bracket,Dimensional out-of-spec,12
2026-07-29,Line-A,Shift-3,Sensor Mount,Missing component,4
2026-07-29,Line-B,Shift-1,Bracket,Assembly misalignment,2
2026-07-29,Line-B,Shift-2,Connector,Handling damage,30
2026-07-29,Line-B,Shift-3,Connector,Assembly misalignment,4
2026-07-29,Line-B,Shift-3,Connector,Assembly misalignment,3
2026-07-29,Line-C,Shift-1,Sensor Mount,Surface defect,9
2026-07-29,Line-C,Shift-2,Connector,Surface defect,1
2026-07-29,Line-C,Shift-2,Connector,Assembly misalignment,4
2026-07-29,Line-C,Shift-3,Housing,Surface defect,5
2026-07-29,Line-C,Shift-3,Housing,Dimensional out-of-spec,7
2026-07-30,Line-A,Shift-1,Bracket,Surface defect,7
2026-07-30,Line-A,Shift-2,Sensor Mount,Handling damage,6
2026-07-30,Line-A,Shift-2,Sensor Mount,Handling damage,1
2026-07-30,Line-A,Shift-2,Sensor Mount,Assembly misalignment,1
2026-07-30,Line-A,Shift-3,Connector,Missing component,14
2026-07-30,Line-B,Shift-1,Sensor Mount,Assembly misalignment,3
2026-07-30,Line-B,Shift-2,Sensor Mount,Assembly misalignment,14
2026-07-30,Line-B,Shift-3,Housing,Assembly misalignment,6
2026-07-30,Line-B,Shift-3,Housing,Missing component,1
2026-07-30,Line-C,Shift-1,Connector,Dimensional out-of-spec,15
2026-07-30,Line-C,Shift-2,Housing,Assembly misalignment,1
2026-07-30,Line-C,Shift-2,Housing,Handling damage,1
2026-07-30,Line-C,Shift-3,Bracket,Surface defect,2
