date,line,shift,product,reason,duration_minutes
2026-07-20,Line-A,Shift-2,Housing,Maintenance,3
2026-07-20,Line-A,Shift-3,Bracket,Minor stop,3
2026-07-20,Line-A,Shift-3,Bracket,Material shortage,1
2026-07-20,Line-A,Shift-3,Bracket,Tooling adjustment,1
2026-07-20,Line-A,Shift-3,Bracket,Quality hold,3
2026-07-20,Line-B,Shift-1,Housing,Changeover,7
2026-07-20,Line-B,Shift-1,Housing,Quality hold,5
2026-07-20,Line-B,Shift-1,Housing,Tooling adjustment,2
2026-07-20,Line-B,Shift-1,Housing,Changeover,1
2026-07-20,Line-B,Shift-2,Sensor Mount,Quality hold,1
2026-07-20,Line-B,Shift-2,Sensor Mount,Tooling adjustment,1
2026-07-20,Line-B,Shift-2,Sensor Mount,Maintenance,1
2026-07-20,Line-B,Shift-2,Sensor Mount,Changeover,1
2026-07-20,Line-B,Shift-3,Sensor Mount,Tooling adjustment,33
2026-07-20,Line-B,Shift-3,Sensor Mount,Changeover,6
2026-07-20,Line-B,Shift-3,Sensor Mount,Tooling adjustment,1
2026-07-20,Line-B,Shift-3,Sensor Mount,Minor stop,1
2026-07-20,Line-C,Shift-1,Bracket,Maintenance,27
2026-07-20,Line-C,Shift-1,Bracket,Maintenance,18
2026-07-20,Line-C,Shift-1,Bracket,Tooling adjustment,5
2026-07-20,Line-C,Shift-2,Sensor Mount,Maintenance,34
2026-07-20,Line-C,Shift-2,Sensor Mount,Changeover,6
2026-07-20,Line-C,Shift-2,Sensor Mount,Changeover,1
2026-07-20,Line-C,Shift-2,Sensor Mount,Maintenance,4
2026-07-20,Line-C,Shift-3,Connector,Changeover,6
2026-07-20,Line-C,Shift-3,Connector,Maintenance,33
2026-07-20,Line-C,Shift-3,Connector,Material shortage,4
2026-07-20,Line-C,Shift-3,Connector,Maintenance,2
2026-07-21,Line-A,Shift-1,Housing,Quality hold,16
2026-07-21,Line-A,Shift-2,Bracket,Maintenance,31
2026-07-21,Line-A,Shift-3,Sensor Mount,Tooling adjustment,9
2026-07-21,Line-A,Shift-3,Sensor Mount,Tooling adjustment,40
2026-07-21,Line-B,Shift-1,Bracket,Changeover,12
2026-07-21,Line-B,Shift-1,Bracket,Material shortage,9
2026-07-21,Line-B,Shift-2,Connector,Quality hold,15
2026-07-21,Line-B,Shift-2,Connector,Material shortage,8
2026-07-21,Line-B,Shift-2,Connector,Minor stop,8
2026-07-21,Line-B,Shift-2,Connector,Material shortage,5
2026-07-21,Line-B,Shift-3,Connector,Material shortage,35
2026-07-21,Line-C,Shift-1,Sensor Mount,Minor stop,30
2026-07-21,Line-C,Shift-1,Sensor Mount,Maintenance,37
2026-07-21,Line-C,Shift-1,Sensor Mount,Maintenance,3
2026-07-21,Line-C,Shift-2,Connector,Maintenance,41
2026-07-21,Line-C,Shift-2,Connector,Quality hold,13
2026-07-21,Line-C,Shift-3,Housing,Material shortage,12
2026-07-21,Line-C,Shift-3,Housing,Maintenance,31
2026-07-21,Line-C,Shift-3,Housing,Tooling adjustment,1
2026-07-21,Line-C,Shift-3,Housing,Material shortage,3
2026-07-22,Line-A,Shift-1,Bracket,Material shortage,17
2026-07-22,Line-A,Shift-1,Bracket,Minor stop,34
2026-07-22,Line-A,Shift-2,Sensor Mount,Changeover,33
2026-07-22,Line-A,Shift-3,Connector,Material shortage,10
2026-07-22,Line-A,Shift-3,Connector,Material shortage,1
2026-07-22,Line-A,Shift-3,Connector,Tooling adjustment,21
2026-07-22,Line-B,Shift-1,Sensor Mount,Minor stop,16
2026-07-22,Line-B,Shift-1,Sensor Mount,Quality hold,21
2026-07-22,Line-B,Shift-1,Sensor Mount,Quality hold,13
2026-07-22,Line-B,Shift-1,Sensor Mount,Maintenance,2
2026-07-22,Line-B,Shift-2,Sensor Mount,Minor stop,14
2026-07-22,Line-B,Shift-2,Sensor Mount,Quality hold,12
2026-07-22,Line-B,Shift-2,Sensor Mount,Quality hold,19
2026-07-22,Line-B,Shift-3,Housing,Minor stop,13
2026-07-22,Line-B,Shift-3,Housing,Material shortage,37
2026-07-22,Line-C,Shift-1,Connector,Maintenance,32
2026-07-22,Line-C,Shift-1,Connector,Minor stop,1
2026-07-22,Line-C,Shift-1,Connector,Material shortage,1
2026-07-22,Line-C,Shift-1,Connector,Material shortage,1
2026-07-22,Line-C,Shift-2,Housing,Maintenance,28
2026-07-22,Line-C,Shift-3,Bracket,Tooling adjustment,4
2026-07-22,Line-C,Shift-3,Bracket,Maintenance,40
2026-07-22,Line-C,Shift-3,Bracket,Maintenance,8
2026-07-23,Line-A,Shift-1,Sensor Mount,Tooling adjustment,1
2026-07-23,Line-A,Shift-1,Sensor Mount,Tooling adjustment,9
2026-07-23,Line-A,Shift-1,Sensor Mount,Quality hold,1
2026-07-23,Line-A,Shift-2,Connector,Changeover,18
2026-07-23,Line-A,Shift-2,Connector,Minor stop,13
2026-07-23,Line-A,Shift-2,Connector,Quality hold,7
2026-07-23,Line-A,Shift-3,Housing,Changeover,14
2026-07-23,Line-B,Shift-1,Connector,Material shortage,1
2026-07-23,Line-B,Shift-1,Connector,Material shortage,1
2026-07-23,Line-B,Shift-1,Connector,Tooling adjustment,4
2026-07-23,Line-B,Shift-2,Connector,Quality hold,26
2026-07-23,Line-B,Shift-2,Connector,Minor stop,12
2026-07-23,Line-B,Shift-3,Bracket,Material shortage,13
2026-07-23,Line-B,Shift-3,Bracket,Tooling adjustment,12
2026-07-23,Line-B,Shift-3,Bracket,Tooling adjustment,1
2026-07-23,Line-C,Shift-1,Housing,Maintenance,54
2026-07-23,Line-C,Shift-2,Bracket,Maintenance,14
2026-07-23,Line-C,Shift-2,Bracket,Maintenance,3
2026-07-23,Line-C,Shift-2,Bracket,Minor stop,7
2026-07-23,Line-C,Shift-2,Bracket,Material shortage,3
2026-07-23,Line-C,Shift-3,Sensor Mount,Maintenance,38
2026-07-24,Line-A,Shift-1,Connector,Minor stop,1
2026-07-24,Line-A,Shift-1,Connector,Maintenance,1
2026-07-24,Line-A,Shift-1,Connector,Changeover,1
2026-07-24,Line-A,Shift-1,Connector,Maintenance,1
2026-07-24,Line-A,Shift-2,Housing,Maintenance,19
2026-07-24,Line-A,Shift-2,Housing,Material shortage,1
2026-07-24,Line-A,Shift-3,Bracket,Changeover,16
2026-07-24,Line-A,Shift-3,Bracket,Minor stop,7
2026-07-24,Line-A,Shift-3,Bracket,Minor stop,1
2026-07-24,Line-B,Shift-1,Housing,Quality hold,6
2026-07-24,Line-B,Shift-1,Housing,Minor stop,7
2026-07-24,Line-B,Shift-1,Housing,Quality hold,2
2026-07-24,Line-B,Shift-1,Housing,Tooling adjustment,2
2026-07-24,Line-B,Shift-2,Sensor Mount,Maintenance,3
2026-07-24,Line-B,Shift-2,Sensor Mount,Quality hold,4
2026-07-24,Line-B,Shift-2,Sensor Mount,Minor stop,2
2026-07-24,Line-B,Shift-3,Sensor Mount,Tooling adjustment,37
2026-07-24,Line-C,Shift-1,Bracket,Material shortage,9
2026-07-24,Line-C,Shift-1,Bracket,Maintenance,41
2026-07-24,Line-C,Shift-1,Bracket,Tooling adjustment,3
2026-07-24,Line-C,Shift-1,Bracket,Material shortage,4
2026-07-24,Line-C,Shift-2,Sensor Mount,Maintenance,18
2026-07-24,Line-C,Shift-2,Sensor Mount,Maintenance,1
2026-07-24,Line-C,Shift-2,Sensor Mount,Maintenance,6
2026-07-24,Line-C,Shift-2,Sensor Mount,Tooling adjustment,4
2026-07-24,Line-C,Shift-3,Connector,Maintenance,22
2026-07-24,Line-C,Shift-3,Connector,Changeover,14
2026-07-24,Line-C,Shift-3,Connector,Minor stop,2
2026-07-24,Line-C,Shift-3,Connector,Material shortage,7
2026-07-25,Line-A,Shift-1,Housing,Quality hold,27
2026-07-25,Line-A,Shift-3,Sensor Mount,Changeover,11
2026-07-25,Line-A,Shift-3,Sensor Mount,Tooling adjustment,2
2026-07-25,Line-A,Shift-3,Sensor Mount,Changeover,5
2026-07-25,Line-A,Shift-3,Sensor Mount,Changeover,10
2026-07-25,Line-B,Shift-1,Bracket,Quality hold,36
2026-07-25,Line-B,Shift-1,Bracket,Material shortage,4
2026-07-25,Line-B,Shift-1,Bracket,Quality hold,4
2026-07-25,Line-B,Shift-2,Connector,Maintenance,3
2026-07-25,Line-B,Shift-2,Connector,Material shortage,4
2026-07-25,Line-B,Shift-2,Connector,Quality hold,15
2026-07-25,Line-B,Shift-3,Connector,Minor stop,19
2026-07-25,Line-B,Shift-3,Connector,Quality hold,1
2026-07-25,Line-B,Shift-3,Connector,Maintenance,1
2026-07-25,Line-B,Shift-3,Connector,Material shortage,1
2026-07-25,Line-C,Shift-1,Sensor Mount,Maintenance,33
2026-07-25,Line-C,Shift-1,Sensor Mount,Quality hold,18
2026-07-25,Line-C,Shift-2,Connector,Maintenance,18
2026-07-25,Line-C,Shift-2,Connector,Quality hold,12
2026-07-25,Line-C,Shift-3,Housing,Quality hold,9
2026-07-25,Line-C,Shift-3,Housing,Maintenance,13
2026-07-25,Line-C,Shift-3,Housing,Maintenance,27
2026-07-25,Line-C,Shift-3,Housing,Tooling adjustment,3
2026-07-26,Line-A,Shift-1,Bracket,Changeover,10
2026-07-26,Line-A,Shift-1,Bracket,Minor stop,11
2026-07-26,Line-A,Shift-2,Sensor Mount,Minor stop,4
2026-07-26,Line-A,Shift-2,Sensor Mount,Maintenance,10
2026-07-26,Line-A,Shift-2,Sensor Mount,Minor stop,1
2026-07-26,Line-A,Shift-2,Sensor Mount,Maintenance,4
2026-07-26,Line-B,Shift-1,Sensor Mount,Material shortage,22
2026-07-26,Line-B,Shift-2,Sensor Mount,Quality hold,14
2026-07-26,Line-B,Shift-2,Sensor Mount,Changeover,1
2026-07-26,Line-B,Shift-3,Housing,Material shortage,42
2026-07-26,Line-C,Shift-1,Connector,Maintenance,32
2026-07-26,Line-C,Shift-1,Connector,Minor stop,5
2026-07-26,Line-C,Shift-1,Connector,Tooling adjustment,10
2026-07-26,Line-C,Shift-1,Connector,Quality hold,5
2026-07-26,Line-C,Shift-2,Housing,Maintenance,16
2026-07-26,Line-C,Shift-2,Housing,Tooling adjustment,3
2026-07-26,Line-C,Shift-2,Housing,Changeover,5
2026-07-26,Line-C,Shift-2,Housing,Tooling adjustment,1
2026-07-26,Line-C,Shift-3,Bracket,Maintenance,18
2026-07-26,Line-C,Shift-3,Bracket,Maintenance,11
2026-07-26,Line-C,Shift-3,Bracket,Maintenance,10
2026-07-26,Line-C,Shift-3,Bracket,Material shortage,7
2026-07-27,Line-A,Shift-1,Sensor Mount,Quality hold,4
2026-07-27,Line-A,Shift-1,Sensor Mount,Changeover,3
2026-07-27,Line-A,Shift-2,Connector,Minor stop,6
2026-07-27,Line-A,Shift-2,Connector,Minor stop,42
2026-07-27,Line-A,Shift-2,Connector,Changeover,5
2026-07-27,Line-A,Shift-3,Housing,Tooling adjustment,16
2026-07-27,Line-B,Shift-1,Connector,Tooling adjustment,26
2026-07-27,Line-B,Shift-2,Connector,Material shortage,3
2026-07-27,Line-B,Shift-2,Connector,Quality hold,7
2026-07-27,Line-B,Shift-2,Connector,Tooling adjustment,5
2026-07-27,Line-B,Shift-3,Bracket,Tooling adjustment,21
2026-07-27,Line-B,Shift-3,Bracket,Material shortage,2
2026-07-27,Line-C,Shift-1,Housing,Maintenance,28
2026-07-27,Line-C,Shift-1,Housing,Material shortage,11
2026-07-27,Line-C,Shift-1,Housing,Minor stop,21
2026-07-27,Line-C,Shift-2,Bracket,Maintenance,26
2026-07-27,Line-C,Shift-3,Sensor Mount,Maintenance,16
2026-07-27,Line-C,Shift-3,Sensor Mount,Changeover,5
2026-07-28,Line-A,Shift-1,Connector,Maintenance,5
2026-07-28,Line-A,Shift-1,Connector,Quality hold,7
2026-07-28,Line-A,Shift-1,Connector,Minor stop,9
2026-07-28,Line-A,Shift-2,Housing,Quality hold,17
2026-07-28,Line-A,Shift-2,Housing,Tooling adjustment,3
2026-07-28,Line-A,Shift-2,Housing,Quality hold,2
2026-07-28,Line-A,Shift-2,Housing,Changeover,1
2026-07-28,Line-A,Shift-3,Bracket,Tooling adjustment,13
2026-07-28,Line-A,Shift-3,Bracket,Tooling adjustment,5
2026-07-28,Line-A,Shift-3,Bracket,Tooling adjustment,1
2026-07-28,Line-B,Shift-1,Housing,Minor stop,4
2026-07-28,Line-B,Shift-1,Housing,Tooling adjustment,8
2026-07-28,Line-B,Shift-1,Housing,Tooling adjustment,1
2026-07-28,Line-B,Shift-1,Housing,Tooling adjustment,8
2026-07-28,Line-B,Shift-2,Sensor Mount,Material shortage,6
2026-07-28,Line-B,Shift-2,Sensor Mount,Tooling adjustment,6
2026-07-28,Line-B,Shift-2,Sensor Mount,Quality hold,7
2026-07-28,Line-B,Shift-3,Sensor Mount,Quality hold,8
2026-07-28,Line-B,Shift-3,Sensor Mount,Maintenance,3
2026-07-28,Line-B,Shift-3,Sensor Mount,Material shortage,1
2026-07-28,Line-B,Shift-3,Sensor Mount,Minor stop,2
2026-07-28,Line-C,Shift-1,Bracket,Maintenance,59
2026-07-28,Line-C,Shift-2,Sensor Mount,Maintenance,54
2026-07-28,Line-C,Shift-3,Connector,Maintenance,25
2026-07-29,Line-A,Shift-1,Housing,Minor stop,50
2026-07-29,Line-A,Shift-1,Housing,Changeover,3
2026-07-29,Line-A,Shift-1,Housing,Maintenance,4
2026-07-29,Line-A,Shift-2,Bracket,Tooling adjustment,16
2026-07-29,Line-A,Shift-2,Bracket,Maintenance,1
2026-07-29,Line-A,Shift-2,Bracket,Material shortage,2
2026-07-29,Line-A,Shift-3,Sensor Mount,Minor stop,27
2026-07-29,Line-B,Shift-1,Bracket,Quality hold,27
2026-07-29,Line-B,Shift-1,Bracket,Changeover,10
2026-07-29,Line-B,Shift-2,Connector,Quality hold,49
2026-07-29,Line-B,Shift-3,Connector,Minor stop,16
2026-07-29,Line-B,Shift-3,Connector,Minor stop,25
2026-07-29,Line-C,Shift-1,Sensor Mount,Maintenance,45
2026-07-29,Line-C,Shift-2,Connector,Changeover,10
2026-07-29,Line-C,Shift-2,Connector,Maintenance,15
2026-07-29,Line-C,Shift-2,Connector,Material shortage,3
2026-07-29,Line-C,Shift-2,Connector,Tooling adjustment,4
2026-07-29,Line-C,Shift-3,Housing,Maintenance,55
2026-07-30,Line-A,Shift-1,Bracket,Quality hold,49
2026-07-30,Line-A,Shift-2,Sensor Mount,Quality hold,27
2026-07-30,Line-A,Shift-2,Sensor Mount,Minor stop,1
2026-07-30,Line-A,Shift-3,Connector,Minor stop,3
2026-07-30,Line-A,Shift-3,Connector,Changeover,26
2026-07-30,Line-B,Shift-1,Sensor Mount,Quality hold,2
2026-07-30,Line-B,Shift-1,Sensor Mount,Material shortage,25
2026-07-30,Line-B,Shift-1,Sensor Mount,Minor stop,22
2026-07-30,Line-B,Shift-1,Sensor Mount,Material shortage,4
2026-07-30,Line-B,Shift-2,Sensor Mount,Quality hold,16
2026-07-30,Line-B,Shift-2,Sensor Mount,Quality hold,2
2026-07-30,Line-B,Shift-2,Sensor Mount,Changeover,1
2026-07-30,Line-B,Shift-3,Housing,Maintenance,11
2026-07-30,Line-B,Shift-3,Housing,Changeover,3
2026-07-30,Line-C,Shift-1,Connector,Minor stop,2
2026-07-30,Line-C,Shift-1,Connector,Maintenance,38
2026-07-30,Line-C,Shift-2,Housing,Maintenance,50
2026-07-30,Line-C,Shift-2,Housing,Changeover,4
2026-07-30,Line-C,Shift-2,Housing,Material shortage,6
2026-07-30,Line-C,Shift-3,Bracket,Maintenance,37
2026-07-30,Line-C,Shift-3,Bracket,Minor stop,17
